ADMIN,ISO_A3,ADMIN_2,ISO_A3_2,distance,cent_lat,cent_lon,coast_lat,coast_lon
Colombia,COL,Colombia,COL,3.94772803359388,4,-73.0838421043,3.9158389340,-77.0315649080
Paraguay,PRY,Paraguay,PRY,9.88638582621342,-23,-58.3984228077,-25.3521460920,-48.7430313790
,,,,2.32933352445399,,,-32.4445940080,-58.2004288400
Portugal,PRT,Portugal,PRT,0.49024177182350,40,-8.5908375890,39.6424790900,-9.0779467550
Moldova,MDA,Moldova,MDA,1.80510725278806,47,28.4613971304,45.8263207050,29.6381942070
Turkmenistan,TKM,Turkmenistan,TKM,4.97309080544538,39,59.3759607356,40.9326846370,54.7465926440
Jordan,JOR,Jordan,JOR,2.17668379948579,31,36.7709231821,31.9516055360,34.7119246750
Nepal,NPL,Nepal,NPL,7.05918476189168,28,83.9162533738,22.4247500670,87.9065861340
Lesotho,LSO,Lesotho,LSO,2.48010365944822,-30,28.2286229250,-30.9122860660,30.3203231130
Cameroon,CMR,Cameroon,CMR,3.36455198454003,6,12.7369841653,4.1356875670,9.7545679050
Gabon,GAB,Gabon,GAB,1.92853592171400,-1,11.7895692568,0.1879743510,10.0256453790
Niger,NER,Niger,NER,12.12930297955808,17,9.3860339967,6.3588727890,4.4055281910
Burkina Faso,BFA,Burkina Faso,BFA,6.81277845117807,12,-1.7555276953,5.7736677100,0.2981063160
Togo,TGO,Togo,TGO,2.39093940418871,9,0.9622715996,6.1819522160,1.4295353520
Ghana,GHA,Ghana,GHA,2.59982335211947,8,-1.2165238314,5.5016950540,-0.3530981110
Guinea-Bissau,GNB,Guinea-Bissau,GNB,0.05695166790867,12,-14.9775137542,11.9783389340,-15.0072322260
Gibraltar,GIB,Gibraltar,GIB,0.00679559038748,36,-5.3467003237,36.1298281920,-5.3399145170
United States of America,USA,United States of America,USA,9.97074481273346,46,-112.4961635555,47.3725446640,-122.3235977860
Canada,CAN,Canada,CAN,3.60174757708314,61,-98.2937133921,60.4983991560,-94.8006078770
Mexico,MEX,Mexico,MEX,3.49504824325508,24,-102.5303078735,22.5283877620,-105.7235408190
Belize,BLZ,Belize,BLZ,0.39453457968038,17,-88.6938885314,17.1779238950,-88.3005264960
Panama,PAN,Panama,PAN,0.14162460202553,9,-80.1212949507,8.3960193584,-80.0437942192
Venezuela,VEN,Venezuela,VEN,3.10308952415624,7,-66.1688402861,10.0584170590,-65.1489151680
Papua New Guinea,PNG,Papua New Guinea,PNG,1.12481132766609,-6,145.2315236207,-5.4769833310,145.7596134770
Egypt,EGY,Egypt,EGY,3.66032102573047,26,29.8611107958,28.5789248720,32.8689070970
Yemen,YEM,Yemen,YEM,1.89666217091194,16,47.5906019522,14.0572777360,48.0168563160
Mauritania,MRT,Mauritania,MRT,5.85644245723600,20,-10.3433979201,20.2151553410,-16.1996964180
Equatorial Guinea,GNQ,Equatorial Guinea,GNQ,0.56801291515470,2,10.3328854605,1.9011091170,9.7990828790
Gambia,GMB,Gambia,GMB,0.00189700577112,13,-15.3975820257,13.4479235993,-15.3981626651
Hong Kong S.A.R.,HKG,Hong Kong S.A.R.,HKG,0.02768804310513,22,114.1314468868,22.3659528670,114.1110132170
Vatican,VAT,Vatican,VAT,0.25860173727231,42,12.4534177294,41.8273379580,12.2062280610
